COUNTY,mean_nri_risk,mean_my_risk,my_risk_norm
Ada,14.868423915015505,16949.975826709284,0.9988117544110121
Adams,94.042239455,345249.965850465,20.344555510106183
Bannock,30.182270608875,97822.10609284833,5.7643662979634405
Bear Lake,55.02663749,66069.81331569717,3.8932979507541448
Benewah,53.365361745,281455.09910904756,16.585313407117148
Bingham,47.585025923,200735.0254332397,11.828719107007615
Blaine,55.39988940625,217921.97885938187,12.841495247814546
Boise,92.98149645666666,207734.04443796814,12.241150518281552
Bonner,22.127922394125,57920.59631347239,3.413088786193441
Bonneville,41.06841316683333,21411.895649097205,1.2617394430049949
Boundary,79.789991915,471302.9036784754,27.77248091058155
Butte,63.16653189,452480.784821162,26.66334932539181
Camas,53.97065119,110067.38199168013,6.485944052929099
Canyon,16.04851652811111,60306.74223856948,3.5536972815737924
Caribou,67.217452315,54501.609739077714,3.2116180576453974
Cassia,54.29331367166666,459883.0480585047,27.09954272214297
Clark,69.60234029,412315.70098446,24.296540176921763
Clearwater,69.4525044,498927.59730072547,29.40032209360128
Custer,88.84792846,607465.3261111085,35.79612822578809
Elmore,61.99859337628571,1697014.0521328256,100.0
Franklin,61.477310564999996,11770.109954468564,0.6935776365361125
Fremont,70.84770251500001,488827.74144194636,28.80516757227687
Gem,73.877122675,509417.5149564969,30.018461798607703
Gooding,69.115076345,989858.5388552444,58.32942500453544
Idaho,88.79600120333333,1281579.1556575045,75.5196548930636
Jefferson,41.90866352816667,15741.53610010464,0.9276019889358316
Jerome,40.303873535,248567.9955076899,14.647374027061646
Kootenai,21.34850475148718,29994.397798209244,1.7674808149356194
Latah,25.26122183588889,47785.47929164683,2.8158564292139787
Lemhi,77.10127003666666,385845.2513856297,22.73671516748463
Lewis,26.256163881666666,187087.3981765045,11.024504949818832
Lincoln,93.99586168,1528764.2353731778,90.08553779809957
Madison,32.79352051645455,61668.18381039551,3.633922991556273
Minidoka,53.434571658,310334.13344062504,18.28706916425316
Nez Perce,18.3983018601,49316.00698598269,2.9060458824133955
Oneida,67.83403891,0.0,0.0
Owyhee,58.45304349333333,915520.9462354836,53.94893136476077
Payette,45.016172764,252581.14601517105,14.883857072233688
Power,82.010179325,1021522.8494740394,60.19530882435408
Shoshone,51.33187461333333,289292.6994619201,17.047159927658463
Teton,41.82205203971428,58251.319723833185,3.4325773349149524
Twin Falls,27.07916539535294,99695.33292640935,5.874749994032824
Valley,85.7094016075,147277.70402177813,8.678637860227376
Washington,80.18360842666667,1071241.1985202117,63.12506352990208
